,LD,Velocity (km/s),a (degrees),$ (degrees),DI
795,1,1.81,-90,60,0.4866
796,4,1.0,-30,15,0.38059
797,2,1.81,45,0,0.8153
798,2,0.5,90,75,0.02046
799,4,2.15,0,0,1.05821
800,2,1.81,30,75,0.22261
801,4,1.81,-30,15,0.77588
802,4,1.81,-30,30,0.68126
803,4,0.25,30,75,0.0
804,1,0.25,0,45,0.01424
805,4,1.81,-75,45,0.54201
806,2,1.0,90,75,0.15229
807,4,0.5,-90,30,0.10755
808,2,1.81,-60,45,0.58674
809,2,1.81,-60,60,0.44708
810,1,1.0,90,60,0.23942
811,1,1.5,30,45,0.51171
812,1,1.81,-90,45,0.62548
813,1,1.0,-15,30,0.39006
814,4,1.81,-60,15,0.70397
815,2,0.25,-15,75,0.00066
816,4,2.15,0,45,0.77948
817,4,1.5,-90,15,0.56189
818,1,0.25,-15,60,0.00691
819,1,1.0,-75,0,0.41845
820,1,1.81,-45,0,0.83214
821,2,0.5,75,0,0.13428
822,4,2.15,45,30,0.94853
823,1,1.25,-15,15,0.54159
824,2,2.15,90,15,0.92311
825,2,1.25,-75,30,0.45097
826,2,1.0,30,60,0.23974
827,4,1.0,-45,60,0.23152
828,2,0.5,60,60,0.08909
829,4,1.81,60,75,0.29694
830,1,0.5,60,15,0.14494
831,2,1.81,90,75,0.26807
832,4,1.5,90,60,0.39095
833,1,2.15,-15,30,0.94243
834,1,1.25,-75,15,0.5331
835,2,1.81,-45,15,0.78106
836,4,0.25,-30,60,0.00268
837,4,0.25,-60,0,0.01962
838,2,1.25,30,45,0.4474
839,4,1.81,90,60,0.46432
840,1,0.25,-15,30,0.02206
841,1,1.5,-45,60,0.38942
842,2,1.81,-90,45,0.60855
843,1,0.5,-15,45,0.11901
844,2,1.5,-45,60,0.36915
845,4,0.25,-90,0,0.01896
846,1,2.15,75,75,0.33099
847,2,1.81,-45,45,0.58831
848,1,1.5,15,75,0.21546
849,2,2.15,-60,75,0.28603
850,2,1.5,-60,0,0.62572
851,1,0.25,45,15,0.02641
852,1,1.5,30,60,0.42092
853,1,1.25,75,15,0.53368
854,2,1.25,-75,0,0.52097
855,4,0.5,15,75,0.00668
856,2,1.0,-45,30,0.367
857,4,1.0,-45,30,0.30764
858,2,1.0,0,0,0.46091
859,1,1.0,60,45,0.34854
860,1,0.25,75,75,0.00047
861,1,1.0,15,0,0.43667
862,4,2.15,-15,75,0.11549
863,4,1.5,30,30,0.67824
864,2,1.81,-60,15,0.75513
865,1,1.0,-60,75,0.09494
866,4,1.81,-45,30,0.65401
867,4,0.5,-30,75,0.00869
868,1,1.81,-90,15,0.80716
869,1,0.5,-45,30,0.14796
870,1,0.5,-60,0,0.14812
871,4,2.15,-15,0,1.09289
872,2,1.5,30,0,0.68517
873,1,0.5,90,30,0.13665
874,1,2.15,-45,30,0.90944
875,4,2.15,0,30,0.9542
876,4,0.5,30,15,0.14652
877,2,1.0,60,75,0.11976
878,2,1.81,-45,0,0.80996
879,4,0.5,-45,0,0.13362
880,2,1.25,-60,60,0.2893
881,2,1.0,15,15,0.46186
882,4,2.15,-15,30,0.89077
883,1,1.81,30,15,0.80338
884,1,0.25,-45,30,0.0193
885,4,1.0,-90,45,0.26757
886,2,1.0,90,30,0.36276
887,4,1.0,-90,30,0.3206
888,2,1.25,-15,60,0.28415
889,4,1.81,-90,15,0.71745
890,1,1.81,-90,75,0.26855
891,2,1.81,75,15,0.76471
892,4,2.15,-30,0,1.0472
893,4,1.81,-15,15,0.82021
894,4,1.0,-45,15,0.35881
895,1,1.81,30,60,0.4973
896,2,0.5,-60,60,0.05419
897,2,1.81,-30,30,0.71577
898,4,1.0,45,30,0.41943
899,2,1.81,-45,75,0.1859
900,1,0.25,-30,15,0.02809
901,2,0.5,-90,15,0.13174
902,1,1.0,-45,0,0.40913
903,4,0.25,-60,30,0.01271
904,4,1.5,90,30,0.52555
905,4,1.25,-15,45,0.37397
906,1,2.15,75,15,0.98681
907,2,0.5,0,60,0.06441
908,1,1.81,0,30,0.73174
909,1,2.15,-75,45,0.76076
910,4,1.25,60,45,0.45249
911,1,0.5,75,0,0.15017
912,1,0.25,30,0,0.02718
913,4,1.25,75,15,0.46395
914,4,0.25,60,75,3e-05
915,2,1.25,-75,75,0.1843
916,2,0.25,-60,75,0.0
917,4,1.0,75,75,0.1612
918,4,2.15,45,45,0.80265
919,1,1.5,15,45,0.52643
920,2,1.81,-30,75,0.1351
921,1,1.0,60,75,0.12245
922,4,0.25,-45,75,5e-05
923,4,1.81,90,15,0.71745
924,2,0.5,-75,60,0.05972
925,4,1.81,45,45,0.69254
926,1,0.25,90,15,0.02278
927,1,1.81,-45,60,0.46716
928,2,1.81,-15,75,0.16049
929,2,0.25,-75,0,0.0225
930,2,1.0,45,30,0.41111
931,1,1.0,-15,75,0.10434
932,4,0.5,-15,75,0.00531
933,4,0.5,45,15,0.13772
934,1,1.81,90,75,0.26855
935,2,0.25,-15,0,0.02966
936,2,0.25,45,15,0.02383
937,1,0.5,45,30,0.14521
938,4,1.81,60,45,0.66422
939,4,1.81,75,75,0.28974
940,2,1.81,75,30,0.70523
941,4,1.81,45,75,0.26479
942,4,2.15,-45,30,0.81578
943,4,0.25,30,60,0.00292
944,4,0.5,90,15,0.11392
945,2,1.5,-90,75,0.2365
946,1,2.15,-30,30,0.92386
947,1,2.15,-15,60,0.59402
948,4,1.81,15,0,0.89461
949,2,1.5,-30,75,0.11485
950,4,2.15,-90,45,0.72227
951,4,1.81,90,45,0.5801
952,4,0.5,60,15,0.13417
953,1,1.25,-90,45,0.41133
954,1,0.5,-60,30,0.14469
955,2,1.25,-60,30,0.44896
956,2,0.5,0,45,0.11147
957,1,0.5,45,60,0.06896
958,1,1.5,-60,75,0.15333
959,1,2.15,0,75,0.28686
960,4,2.15,60,30,0.88845
961,1,1.0,90,0,0.41578
962,4,1.81,30,60,0.52632
963,2,0.25,75,60,0.00727
964,4,1.0,-45,45,0.26765
965,4,0.5,-45,75,0.00932
966,4,1.0,75,15,0.35031
967,4,1.81,30,30,0.79988
968,1,1.5,90,15,0.6485
969,4,0.5,-60,30,0.11495
970,1,0.25,-60,45,0.00753
971,4,2.15,90,45,0.72227
972,4,2.15,15,60,0.59692
973,1,0.5,0,30,0.13666
974,1,1.0,-15,15,0.41099
975,2,2.15,15,0,1.02329
976,1,0.25,75,0,0.02897
977,4,1.25,-45,15,0.45928
978,1,1.5,-30,60,0.3966
979,4,1.81,-30,75,0.08489
980,4,0.25,90,15,0.01763
981,1,1.81,-30,30,0.75082
982,2,2.15,45,30,0.91418
983,1,1.25,-30,45,0.4265
984,2,1.25,15,60,0.31303
985,4,1.0,15,0,0.4644
986,4,1.25,-60,15,0.45276
987,1,1.0,75,75,0.12676
988,1,0.25,0,75,0.0
989,2,0.25,-90,60,0.00649
990,2,0.25,-45,60,0.00081
991,2,1.5,30,15,0.70332
992,4,0.25,0,30,0.0156
993,2,1.5,60,15,0.6239
994,2,1.5,0,30,0.62175
995,4,1.5,-90,60,0.39095
996,2,0.25,30,15,0.02774
997,4,0.25,-15,45,0.00922
998,1,1.25,0,0,0.55252
999,2,2.15,-75,60,0.54184
1000,2,0.5,-15,0,0.15415
1001,4,0.25,-45,15,0.01938
1002,4,0.5,-45,60,0.04217
1003,4,0.25,30,0,0.02589
1004,1,2.15,0,60,0.57935
1005,4,2.15,-30,60,0.49097
1006,4,1.0,30,0,0.40332
1007,1,0.25,-90,30,0.02086
1008,2,0.25,90,15,0.02181
1009,4,0.25,-60,45,0.00556
1010,2,1.25,75,30,0.47539
1011,2,0.25,-60,45,0.00605
1012,4,1.5,-45,45,0.45159
1013,1,1.25,15,75,0.17855
1014,4,2.15,90,0,0.9759
1015,4,2.15,-60,0,0.93886
1016,2,1.25,90,60,0.32192
1017,1,0.5,15,15,0.15035
1018,4,0.5,75,30,0.11814
1019,1,1.81,-90,0,0.81403
1020,1,1.81,-30,75,0.25169
1021,1,1.25,90,45,0.41133
1022,2,2.15,0,0,1.0276
1023,2,1.5,-75,15,0.62421
1024,4,1.0,-75,0,0.36056
1025,2,1.0,-60,75,0.08852
1026,1,1.5,-60,15,0.64806
1027,4,1.5,0,45,0.48852
1028,4,1.0,90,15,0.34558
1029,1,1.25,-75,75,0.1659
1030,1,1.0,60,60,0.2494
1031,2,1.0,-75,15,0.37477
1032,1,1.25,30,15,0.54349
1033,2,1.81,60,0,0.78605
1034,4,0.5,45,45,0.12761
1035,4,1.5,-15,30,0.57187
1036,1,1.5,-90,30,0.60418
1037,4,0.5,30,45,0.09894
1038,2,0.5,75,75,0.02015
1039,2,1.25,-60,15,0.48803
1040,2,2.15,-15,30,0.91287
1041,2,1.81,-90,15,0.7608
1042,4,1.81,-90,45,0.5801
1043,1,2.15,-30,15,1.00292
1044,2,0.25,30,60,0.00323
1045,1,2.15,-75,60,0.56516
1046,1,0.25,-60,30,0.01625
1047,1,0.5,-45,75,0.00113
1048,2,1.0,15,30,0.41522
1049,1,1.0,75,45,0.33908
1050,2,1.25,60,75,0.20085
1051,2,1.25,45,15,0.54107
1052,1,1.0,0,30,0.38735
1053,1,1.81,-60,60,0.47825
1054,2,2.15,75,60,0.59224
1055,2,2.15,-90,15,0.92311
1056,2,1.5,75,75,0.25749
1057,4,1.25,60,15,0.48146
1058,4,1.25,-60,30,0.42059
1059,1,0.25,30,30,0.01515
1060,1,1.5,90,60,0.40439
1061,4,0.5,60,75,0.00789
1062,1,1.25,-60,30,0.48547
1063,4,0.25,-15,30,0.01748
1064,1,1.81,45,30,0.73346
1065,4,1.81,60,15,0.7428
1066,2,2.15,-60,45,0.74105
1067,2,2.15,-75,15,0.9732
1068,2,1.5,-75,45,0.47628
1069,1,1.5,-15,60,0.39735
1070,1,0.5,-15,30,0.14084
1071,2,1.81,-30,0,0.83628
1072,4,0.5,60,0,0.13026
1073,2,1.5,30,75,0.19113
1074,2,1.5,0,15,0.70347
1075,4,0.5,0,30,0.12051
1076,4,1.5,-75,45,0.46662
1077,1,1.5,-75,60,0.39988
1078,2,0.5,90,15,0.13174
1079,2,1.0,-30,15,0.40299
1080,4,1.0,-45,0,0.37795
1081,4,2.15,15,15,1.02985
1082,4,1.5,-75,30,0.51306
1083,2,0.25,60,15,0.02218
1084,4,0.5,75,60,0.0558
1085,4,2.15,-30,75,0.10521
1086,2,0.25,30,75,1e-05
1087,2,0.25,60,0,0.02331
1088,4,0.5,45,75,0.01683
1089,2,1.5,75,0,0.62541
1090,2,1.81,60,45,0.64674
1091,2,0.5,-60,0,0.13926
1092,1,1.81,-75,75,0.25059
1093,4,0.25,-75,15,0.01707
1094,1,2.15,60,30,0.89185
1095,2,2.15,60,0,0.97414
1096,4,1.0,0,45,0.28365
1097,1,1.25,0,75,0.18408
1098,1,1.0,60,30,0.3846
1099,1,0.25,75,30,0.02229
1100,4,0.25,0,75,4e-05
1101,2,2.15,15,15,1.00031
1102,2,2.15,75,15,0.94838
1103,4,1.5,-60,45,0.43872
1104,2,0.5,60,75,0.0234
1105,4,0.25,45,75,2e-05
1106,4,1.81,45,30,0.78544
1107,1,1.5,45,75,0.20665
1108,4,1.81,15,75,0.15767
1109,1,0.25,-75,45,0.01039
1110,2,1.5,-60,45,0.48289
1111,2,1.5,0,75,0.142
1112,4,2.15,45,0,0.97753
1113,2,0.25,-75,75,0.0
1114,2,2.15,15,45,0.79857
1115,2,2.15,30,75,0.26224
1116,1,1.0,-75,45,0.32161
1117,2,0.25,45,45,0.01138
1118,2,0.5,-90,30,0.12635
1119,4,1.25,45,15,0.525
1120,2,1.0,60,0,0.392
1121,4,2.15,0,15,1.05718
1122,1,1.0,15,75,0.13732
1123,4,2.15,60,45,0.79759
1124,1,1.0,-90,60,0.23942
1125,2,1.0,90,15,0.38718
1126,4,1.0,-60,45,0.26298
1127,4,0.5,-15,30,0.12415
1128,2,0.5,-45,60,0.05186
1129,1,1.81,-45,30,0.72731
1130,1,0.5,-60,45,0.1167
1131,1,1.25,-60,45,0.42018
1132,4,1.25,75,0,0.4795
1133,4,0.25,75,30,0.01235
1134,4,0.25,-30,15,0.02288
1135,4,1.5,45,0,0.61382
1136,4,0.5,0,60,0.03756
1137,4,1.0,45,75,0.10926
1138,2,2.15,75,0,0.96814
1139,1,1.81,-15,0,0.81818
1140,1,0.25,45,45,0.00761
1141,1,0.25,-15,15,0.02579
1142,1,1.25,90,30,0.49316
1143,1,2.15,60,15,0.99531
1144,4,1.5,-75,60,0.35454
1145,1,1.0,-45,60,0.2426
1146,2,1.0,75,60,0.24026
1147,1,1.25,60,0,0.54668
1148,1,0.5,15,45,0.10998
1149,2,1.81,30,30,0.75267
1150,4,0.25,90,45,0.00766
1151,1,1.81,60,0,0.82334
1152,2,1.0,-60,60,0.2333
1153,1,1.25,-15,75,0.17798
1154,4,0.25,45,45,0.01252
1155,4,2.15,75,45,0.73982
1156,1,0.5,90,0,0.14974
1157,1,1.25,-75,0,0.54589
1158,2,2.15,-75,45,0.74177
1159,4,0.5,-30,0,0.13931
1160,4,1.0,90,45,0.26757
1161,2,1.25,-45,75,0.10232
1162,1,0.5,0,45,0.1108
1163,2,0.25,-30,30,0.01876
1164,1,0.5,30,30,0.14383
1165,1,1.25,45,15,0.53521
1166,4,2.15,90,15,0.92741
1167,2,1.81,90,0,0.78483
1168,4,0.5,15,30,0.11706
1169,4,0.25,60,60,0.00434
1170,1,2.15,-75,15,0.99298
1171,2,1.5,15,0,0.7218
1172,2,1.25,-60,0,0.51005
1173,4,0.25,-60,75,0.00017
1174,1,2.15,60,0,1.02322
1175,1,1.25,-15,30,0.51169
1176,4,2.15,60,75,0.36083
1177,4,2.15,-45,0,0.97249
1178,1,1.5,90,0,0.67502
1179,2,1.0,-90,45,0.31553
1180,2,1.0,-45,60,0.23888
1181,4,1.5,15,0,0.76062
1182,2,1.0,-45,0,0.40221
1183,4,1.81,75,60,0.51397
1184,1,1.81,15,0,0.81232
1185,2,1.81,-90,75,0.26807
1186,1,1.0,-60,15,0.4107
1187,1,1.0,30,75,0.14348
1188,1,1.0,90,75,0.13059
1189,2,0.5,-45,75,0.00872
1190,2,0.25,15,60,0.0032
1191,2,1.0,-30,0,0.43205
1192,1,1.0,15,30,0.39139
1193,4,1.0,-15,45,0.2626
1194,4,2.15,30,60,0.65662
1195,2,0.25,-45,75,6e-05
1196,1,0.5,15,60,0.06717
1197,2,1.5,0,60,0.36493
1198,4,0.25,-15,60,0.00288
1199,1,0.5,-75,60,0.06031
1200,1,1.25,-90,75,0.18942
1201,4,1.0,-15,60,0.18744
1202,4,1.25,30,0,0.53585
1203,4,0.25,75,0,0.01928
1204,2,2.15,30,15,0.99735
1205,4,1.5,-90,45,0.46517
1206,4,1.81,15,30,0.80771
1207,4,1.0,-60,0,0.36357
1208,4,0.5,0,15,0.1399
1209,4,1.0,-75,45,0.26473
1210,4,2.15,-30,15,0.98048
1211,1,1.81,-45,15,0.81011
1212,2,1.25,0,45,0.43149
1213,1,0.5,-45,0,0.14839
1214,4,1.0,60,30,0.35894
1215,1,0.5,75,60,0.07588
1216,1,0.25,-45,0,0.0284
1217,2,1.81,0,60,0.46632
1218,2,2.15,-60,60,0.53598
1219,4,1.81,-60,30,0.647
1220,2,0.5,30,60,0.06227
1221,4,0.25,-90,15,0.01763
1222,1,0.5,30,0,0.14867
1223,2,1.5,-75,60,0.37829
1224,2,0.5,-15,15,0.15124
1225,2,1.25,-45,45,0.40862
1226,1,2.15,30,30,0.8945
1227,4,0.25,30,45,0.01023
1228,4,2.15,0,60,0.53413
1229,4,0.25,-45,0,0.02226
1230,4,0.5,-75,75,0.0085
1231,2,1.0,45,45,0.35986
1232,4,0.5,75,45,0.10544
1233,1,2.15,-60,60,0.57057
1234,2,1.5,0,60,0.381
1235,4,2.15,30,45,0.80903
1236,2,1.5,75,30,0.59123
1237,4,1.25,15,75,0.09714
1238,2,2.15,60,30,0.90786
1239,1,1.81,90,30,0.72338
1240,1,0.25,-60,0,0.02881
1241,1,0.5,-60,15,0.15048
1242,1,0.25,90,30,0.02086
1243,2,1.25,75,15,0.49691
1244,2,0.5,45,45,0.12889
1245,2,1.25,-90,0,0.50058
1246,2,0.5,45,30,0.1405
1247,1,1.25,90,0,0.54926
1248,1,0.5,15,75,0.01801
1249,2,2.15,45,75,0.31111
1250,4,0.25,60,15,0.01774
1251,2,1.81,90,45,0.60855
1252,2,1.81,30,15,0.83159
1253,4,0.5,-30,45,0.09885
1254,4,1.5,-15,45,0.44728
1255,2,0.25,30,0,0.02845
1256,2,1.81,0,0,0.85498
1257,1,1.0,0,45,0.33947
1258,4,0.25,15,45,0.00641
1259,1,1.81,75,60,0.48708
1260,4,2.15,75,30,0.84202
1261,4,1.0,15,75,0.07343
1262,1,1.81,30,30,0.7193
1263,1,0.25,30,15,0.02341
1264,4,1.25,30,30,0.58341
1265,2,0.5,60,30,0.13789
1266,2,0.25,15,15,0.0284
1267,1,0.25,-15,75,0.0012
1268,2,1.5,-75,0,0.62968
1269,1,1.0,-60,30,0.38884
1270,1,2.15,15,30,0.89762
1271,2,1.81,30,60,0.50577
1272,4,0.5,90,30,0.10755
1273,1,1.81,-60,0,0.83122
1274,1,1.5,90,45,0.50248
1275,2,1.81,-75,30,0.70545
1276,1,1.0,75,60,0.23932
1277,2,1.0,90,45,0.31553
1278,4,1.25,-15,30,0.45302
1279,1,1.81,-45,45,0.62345
1280,2,1.81,-60,0,0.78396
1281,4,1.25,60,0,0.47774
1282,2,2.15,60,60,0.58917
1283,2,1.81,45,75,0.26517
1284,4,1.5,60,15,0.5885
1285,4,1.5,-30,0,0.66837
1286,4,0.5,0,0,0.18887
1287,2,1.81,45,30,0.7649
1288,2,0.5,-60,75,0.01336
1289,4,1.81,75,0,0.73958
1290,1,1.81,60,75,0.25872
1291,1,1.0,45,0,0.40744
1292,1,1.5,30,15,0.64535
1293,1,1.5,0,60,0.40422
1294,1,1.25,-90,15,0.52938
1295,4,1.5,-15,60,0.31179
1296,1,1.25,75,0,0.54824
1297,4,1.5,15,60,0.36464
1298,4,1.81,15,60,0.47478
1299,4,1.0,30,45,0.34872
1300,1,1.5,-60,30,0.60601
1301,2,2.15,75,30,0.88983
1302,1,0.25,75,45,0.01477
1303,2,0.5,90,30,0.12635
1304,4,0.25,-30,45,0.00851
1305,4,1.5,-15,0,0.75219
1306,4,2.15,-75,30,0.85226
1307,2,0.25,-90,15,0.02181
