,LD,Velocity (km/s),a (degrees),$ (degrees),DI
182,1,1.25,-15,45,0.43313
183,2,1.0,0,15,0.46258
184,2,1.0,30,30,0.43351
185,2,1.5,-90,60,0.40724
186,1,1.5,-75,45,0.50487
187,2,1.25,-15,0,0.59479
188,2,1.81,-75,15,0.76147
189,4,1.5,-90,0,0.58251
190,4,1.5,60,30,0.58136
191,2,2.15,60,75,0.33566
192,1,1.0,-15,45,0.34655
193,2,0.25,15,30,0.02072
194,1,1.5,15,30,0.60459
195,1,1.0,-15,60,0.23934
196,4,2.15,90,30,0.83957
197,2,0.5,90,0,0.1289
198,4,1.25,90,60,0.2946
199,1,1.25,-15,0,0.55427
200,1,0.5,-15,15,0.14793
201,4,1.81,-30,60,0.39735
202,4,1.5,90,75,0.21983
203,1,1.0,-45,15,0.40526
204,2,1.81,-45,30,0.70239
205,4,1.81,15,15,0.87437
206,4,0.5,15,60,0.03226
207,1,0.25,90,0,0.02489
208,4,0.5,-60,45,0.08253
209,2,0.25,15,0,0.0283
210,4,1.25,-75,30,0.42343
211,2,0.25,-30,60,0.00183
212,2,1.25,60,0,0.51237
213,4,0.5,-30,60,0.0452
214,2,1.25,-45,15,0.51261
215,1,0.5,15,0,0.14917
216,4,2.15,-60,60,0.495
217,4,1.81,-15,75,0.08929
218,1,1.5,-15,30,0.6199
219,4,0.25,-45,45,0.00634
220,2,2.15,-45,45,0.71493
221,2,2.15,-15,60,0.57627
222,2,1.0,-60,30,0.359
223,2,1.25,30,0,0.55258
224,1,0.5,60,45,0.12749
225,1,1.5,-30,45,0.53174
226,2,0.5,75,30,0.13432
227,2,1.25,-30,30,0.46519
228,2,1.5,-30,60,0.35528
229,1,1.5,-30,75,0.20172
230,2,2.15,0,15,1.00895
231,1,1.81,45,60,0.4975
232,1,1.25,75,60,0.32716
233,2,1.25,-15,15,0.55342
234,2,1.81,45,45,0.64315
235,1,0.5,-75,45,0.11034
236,2,2.15,-60,15,0.95891
237,1,0.25,30,45,0.00667
238,1,0.5,45,0,0.14619
239,4,1.0,-75,75,0.09782
240,1,1.0,-75,60,0.23513
241,4,1.25,-45,30,0.42309
242,4,0.25,45,0,0.02196
243,2,0.25,-30,15,0.02666
244,4,1.25,45,60,0.38363
245,4,1.0,15,30,0.43079
246,2,1.81,75,60,0.48321
247,1,0.25,-45,60,0.00103
248,2,0.25,-75,15,0.0197
249,2,1.5,-15,45,0.49915
250,2,0.5,-15,75,0.0154
251,1,1.0,-45,30,0.39125
252,1,1.5,-30,15,0.67019
253,2,0.5,15,15,0.15668
254,1,1.0,0,75,0.12319
255,4,0.5,-90,15,0.11392
256,4,1.5,90,15,0.56189
257,1,1.81,-15,15,0.8059
258,4,0.25,-30,75,7e-05
259,1,1.0,90,15,0.40661
260,4,0.5,-45,45,0.09818
261,4,1.25,60,30,0.47828
262,1,2.15,30,45,0.74881
263,2,1.25,-90,75,0.21055
264,1,0.5,-45,60,0.05995
265,1,1.25,-75,30,0.49358
266,2,0.5,-30,15,0.14494
267,4,0.5,-75,0,0.12494
268,1,1.25,15,45,0.43235
269,4,1.5,-60,15,0.56913
270,4,1.25,-90,15,0.45945
271,1,0.5,0,75,0.01773
272,2,1.5,45,0,0.64912
273,1,0.5,0,0,0.15593
274,2,2.15,-15,15,0.99439
275,2,0.25,90,30,0.01821
276,1,1.0,0,0,0.43333
277,2,1.0,15,0,0.47327
278,4,1.25,-45,0,0.49486
279,4,1.25,-90,60,0.2946
280,1,1.5,-75,75,0.20895
281,4,0.25,75,15,0.01695
282,4,1.0,-30,45,0.25636
283,1,1.0,-60,45,0.32679
284,4,2.15,75,0,0.97645
285,2,1.0,30,45,0.36257
286,2,1.5,-60,75,0.17796
287,2,0.5,0,0,0.17152
288,4,1.5,60,45,0.54897
289,4,1.5,75,15,0.5824
290,2,1.5,30,30,0.64605
291,1,1.0,-90,30,0.38054
292,2,1.25,90,30,0.45242
293,2,1.5,60,60,0.4212
294,1,1.25,0,15,0.54532
295,2,0.5,15,60,0.05006
296,2,2.15,60,15,0.9525
297,2,1.0,75,30,0.37604
298,4,1.25,0,15,0.6184
299,2,1.25,90,75,0.21055
300,4,1.81,45,60,0.523
301,1,0.25,15,0,0.02343
302,2,0.25,0,15,0.02685
303,4,1.25,-60,0,0.47858
304,2,1.0,75,0,0.38717
305,4,1.0,75,45,0.30459
306,2,0.5,75,45,0.11399
307,1,2.15,90,75,0.30161
308,2,2.15,45,60,0.59289
309,2,2.15,-45,0,0.99808
310,1,2.15,-15,15,0.97479
311,4,1.5,75,45,0.49415
312,2,1.0,15,45,0.34642
313,1,2.15,-45,60,0.57638
314,2,2.15,45,0,0.99862
315,1,2.15,-45,75,0.2742
316,1,1.5,-30,0,0.67533
317,2,1.81,-45,60,0.45418
318,1,2.15,75,60,0.58173
319,4,1.25,75,75,0.20575
320,2,1.5,60,75,0.24031
321,4,1.25,90,75,0.19908
322,1,0.25,60,30,0.0207
323,1,1.5,-15,45,0.52031
324,4,0.5,-90,45,0.091
325,1,1.0,0,15,0.41939
326,2,1.81,15,0,0.85536
327,4,0.5,30,0,0.13621
328,2,1.0,60,45,0.35752
329,4,0.5,15,0,0.15244
330,2,1.0,-90,75,0.15229
331,4,1.0,-90,75,0.13955
332,2,1.25,75,60,0.34836
333,1,1.25,0,45,0.42735
334,4,1.25,15,15,0.62857
335,4,1.81,45,15,0.78217
336,4,1.0,-75,60,0.2223
337,2,1.25,15,75,0.11669
338,4,1.81,90,0,0.75207
339,2,0.25,0,30,0.02207
340,1,1.81,-15,30,0.75849
341,4,1.0,75,0,0.35853
342,4,1.81,-75,75,0.25746
343,2,2.15,-30,60,0.54167
344,2,0.25,90,60,0.00649
345,4,1.0,30,75,0.06948
346,2,1.81,60,60,0.49331
347,2,1.81,60,30,0.75257
348,1,2.15,15,75,0.29792
349,2,2.15,90,0,0.93314
350,1,1.5,75,30,0.60184
351,1,0.5,-90,0,0.14974
352,4,1.5,15,45,0.54165
353,4,1.0,-90,15,0.34558
354,4,0.5,-60,75,0.01077
355,1,1.0,30,15,0.42616
356,4,1.81,30,75,0.18586
357,2,1.5,90,30,0.57375
358,1,1.25,-30,0,0.55617
359,1,0.5,-30,0,0.1467
360,1,1.0,30,0,0.41688
361,1,0.25,15,30,0.01829
362,4,1.25,-15,60,0.25753
363,1,1.0,60,15,0.39794
364,2,0.5,15,45,0.11541
365,1,2.15,0,15,0.98294
366,4,1.0,90,0,0.35602
367,2,2.15,90,45,0.74793
368,1,2.15,-15,0,0.98312
369,2,0.25,-90,0,0.02317
370,2,0.25,-30,45,0.00988
371,1,0.25,-75,60,0.00249
372,1,0.25,45,0,0.03002
373,4,1.5,60,0,0.59357
374,2,1.81,75,45,0.61854
375,1,0.5,90,45,0.1101
376,2,0.25,0,45,0.01055
377,1,2.15,-75,30,0.9175
378,2,2.15,-45,60,0.55269
379,1,0.25,-30,45,0.01378
380,1,1.0,15,60,0.23978
381,1,1.5,-90,0,0.67502
382,1,0.5,45,15,0.14581
383,2,1.5,90,45,0.47767
384,1,0.5,60,0,0.14724
385,4,2.15,30,15,1.04654
386,4,0.25,-60,60,0.00227
387,2,2.15,90,60,0.58758
388,4,1.25,15,60,0.27554
389,4,1.25,0,60,0.26889
390,1,1.0,-45,75,0.06227
391,4,1.5,-30,60,0.321
392,1,1.0,-90,75,0.13059
393,2,1.5,-30,0,0.69309
394,4,1.25,-30,45,0.36259
395,1,0.25,-45,75,0.00013
396,1,1.5,-45,30,0.60824
397,1,0.25,-75,15,0.02333
398,2,1.5,30,60,0.42728
399,4,1.0,-60,60,0.21738
400,4,1.0,60,60,0.29574
401,1,1.0,-30,30,0.3836
402,2,0.25,-90,30,0.01821
403,2,1.5,45,75,0.22936
404,1,0.25,-45,15,0.02908
405,2,0.5,-75,0,0.13567
406,2,1.81,0,75,0.18701
407,4,1.0,0,30,0.3768
408,4,0.5,-60,0,0.12953
409,4,0.5,-75,30,0.1099
410,2,1.81,0,45,0.6483
411,4,0.25,45,60,0.00555
412,4,2.15,-15,45,0.72327
413,2,1.25,-75,15,0.48483
414,2,1.0,60,15,0.38768
415,4,1.81,0,15,0.87267
416,2,2.15,-30,45,0.73002
417,4,0.5,0,75,0.00737
418,2,2.15,-75,75,0.3102
419,4,1.81,0,45,0.63278
420,1,2.15,90,60,0.56859
421,1,0.25,-30,30,0.02402
422,4,1.0,75,30,0.32856
423,2,1.5,-75,75,0.23493
424,2,1.25,45,45,0.46251
425,4,1.81,60,30,0.72915
426,4,1.5,-45,15,0.58858
427,2,1.5,-15,15,0.67356
428,4,2.15,60,15,0.93454
